segment,x1,x2,duration,distance,weather,peak
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,198,165,1,0
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,188,178,1,0
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,45,148,1,0
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,45,162,1,0
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,159,176,1,0
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,159,189,1,0
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,78,186,1,0
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,78,197,1,0
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,130,67,1,0
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,130,81,1,0
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,169,122,1,0
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,169,135,1,0
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,32,180,1,0
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,32,195,1,0
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,149,152,1,0
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,149,165,1,0
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,106,185,1,0
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,106,196,1,0
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,105,146,1,0
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,105,158,1,0
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,75,174,1,1
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,75,185,1,1
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,81,111,1,1
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,81,123,1,1
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,145,95,1,1
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,145,108,1,1
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,98,155,1,1
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,98,166,1,1
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,63,98,1,1
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,63,108,1,1
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,525,164,1,1
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,525,175,1,1
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,73,196,1,1
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,83,69,1,1
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,202,171,1,1
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,202,182,1,1
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,97,110,1,1
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,97,123,1,1
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,76,196,1,1
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,86,117,1,1
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,12,139,1,1
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,12,149,1,1
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,207,50,1,1
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,207,60,1,1
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,124,73,1,1
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,124,82,1,1
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,228,127,1,1
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,228,139,1,1
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,69,151,1,1
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,69,163,1,1
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,176,155,1,1
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,176,167,1,1
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,17,175,1,1
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,17,187,1,1
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,59,149,1,1
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,59,160,1,1
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,48,128,2,0
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,48,139,2,0
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,167,124,2,0
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,167,137,2,0
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,143,119,2,0
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,143,130,2,0
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,86,165,2,0
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,86,177,2,0
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,7,54,2,0
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,7,62,2,0
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,78,127,2,0
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,78,139,2,0
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,51,139,2,0
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,51,152,2,0
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,80,109,2,0
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,80,123,2,0
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,234,176,2,0
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,234,188,2,0
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,93,58,2,0
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,93,69,2,0
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,83,120,2,0
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,83,130,2,0
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,168,192,2,0
1,LRT TMN BAHAGIA,RUMAH NO. 57  JLN SS4A/1,178,88,2,0
