segment,x1,x2,duration,distance,weather,peak
20,SEK MEN SRI PERMATA  JLN SS 3/80,SIMPANG JLN SS1/38  JLN SS1/36,90,188,1,0
20,SEK MEN SRI PERMATA  JLN SS 3/80,SIMPANG JLN SS1/38  JLN SS1/36,110,181,1,0
20,SEK MEN SRI PERMATA  JLN SS 3/80,SIMPANG JLN SS1/38  JLN SS1/36,100,177,1,0
20,SEK MEN SRI PERMATA  JLN SS 3/80,SIMPANG JLN SS1/38  JLN SS1/36,110,184,1,0
20,SEK MEN SRI PERMATA  JLN SS 3/80,SIMPANG JLN SS1/38  JLN SS1/36,100,177,1,0
20,SEK MEN SRI PERMATA  JLN SS 3/80,SIMPANG JLN SS1/38  JLN SS1/36,85,182,1,0
20,SEK MEN SRI PERMATA  JLN SS 3/80,SIMPANG JLN SS1/38  JLN SS1/36,120,189,1,1
20,SEK MEN SRI PERMATA  JLN SS 3/80,SIMPANG JLN SS1/38  JLN SS1/36,95,170,1,1
20,SEK MEN SRI PERMATA  JLN SS 3/80,SIMPANG JLN SS1/38  JLN SS1/36,105,188,1,1
20,SEK MEN SRI PERMATA  JLN SS 3/80,SIMPANG JLN SS1/38  JLN SS1/36,105,174,1,1
20,SEK MEN SRI PERMATA  JLN SS 3/80,SIMPANG JLN SS1/38  JLN SS1/36,110,194,1,1
20,SEK MEN SRI PERMATA  JLN SS 3/80,SIMPANG JLN SS1/38  JLN SS1/36,90,193,1,1
20,SEK MEN SRI PERMATA  JLN SS 3/80,SIMPANG JLN SS1/38  JLN SS1/36,100,189,1,1
20,SEK MEN SRI PERMATA  JLN SS 3/80,SIMPANG JLN SS1/38  JLN SS1/36,90,193,1,1
20,SEK MEN SRI PERMATA  JLN SS 3/80,SIMPANG JLN SS1/38  JLN SS1/36,90,184,1,1
20,SEK MEN SRI PERMATA  JLN SS 3/80,SIMPANG JLN SS1/38  JLN SS1/36,105,186,2,0
20,SEK MEN SRI PERMATA  JLN SS 3/80,SIMPANG JLN SS1/38  JLN SS1/36,115,187,2,0
20,SEK MEN SRI PERMATA  JLN SS 3/80,SIMPANG JLN SS1/38  JLN SS1/36,100,196,2,0
20,SEK MEN SRI PERMATA  JLN SS 3/80,SIMPANG JLN SS1/38  JLN SS1/36,95,183,2,0
20,SEK MEN SRI PERMATA  JLN SS 3/80,SIMPANG JLN SS1/38  JLN SS1/36,90,181,2,0
20,SEK MEN SRI PERMATA  JLN SS 3/80,SIMPANG JLN SS1/38  JLN SS1/36,115,176,2,0
20,SEK MEN SRI PERMATA  JLN SS 3/80,SIMPANG JLN SS1/38  JLN SS1/36,110,195,1,0
20,SEK MEN SRI PERMATA  JLN SS 3/80,SIMPANG JLN SS1/38  JLN SS1/36,90,198,1,0
20,SEK MEN SRI PERMATA  JLN SS 3/80,SIMPANG JLN SS1/38  JLN SS1/36,100,188,1,0
20,SEK MEN SRI PERMATA  JLN SS 3/80,SIMPANG JLN SS1/38  JLN SS1/36,80,199,1,0
